iku,Iku Present Indicative,行く,Positive,Plain,Iku
ikanai,Iku Present Indicative,行かない,Negative,Plain,Iku
ikimasu,Iku Present Indicative,行きます,Positive,Polite,Iku
ikimasen,Iku Present Indicative,行きません,Negative,Polite,Iku
ikō,Iku Presumptive \ Volitional,行こう行く だろう,Positive,Plain,Iku
ikanai darō,Iku Presumptive \ Volitional,行かないだろう,Negative,Plain,Iku
ikimashō,Iku Presumptive \ Volitional,行きましょう行くでしょう,Positive,Polite,Iku
ikanai deshō,Iku Presumptive \ Volitional,行かないでしょう,Negative,Polite,Iku
ike,Iku Imperative,行け,Positive,Plain,Iku
iku na,Iku Imperative,行くな,Negative,Plain,Iku
itte kudasai,Iku Imperative,行ってください,Positive,Polite,Iku
ikanai de kudasai,Iku Imperative,行かないでください,Negative,Polite,Iku
itta,Iku Past Indicative,行った,Positive,Plain,Iku
ikanakatta,Iku Past Indicative,行かなかった,Negative,Plain,Iku
ikimashita,Iku Past Indicative,行きました,Positive,Polite,Iku
ikimasen deshita,Iku Past Indicative,行きませんでした,Negative,Polite,Iku
ittarō,Iku Past Presumptive,行っただろう,Positive,Plain,Iku
ikanakatta darō,Iku Past Presumptive,行かなかっただろう,Negative,Plain,Iku
,Iku Past Presumptive,行ったでしょう,Positive,Polite,Iku
ikanakatta deshō,Iku Past Presumptive,行かなかったでしょう,Negative,Polite,Iku
itte iru,Iku Present Progressive,行って いる,Positive,Plain,Iku
,Iku Present Progressive,,Negative,Plain,Iku
itte imasu,Iku Present Progressive,行って います,Positive,Polite,Iku
itte imasen,Iku Present Progressive,行って いません,Negative,Polite,Iku
itte ita,Iku Past Progressive,行って いた,Positive,Plain,Iku
,Iku Past Progressive,,Negative,Plain,Iku
itte imashita,Iku Past Progressive,行って いました,Positive,Polite,Iku
itte imasen deshita,Iku Past Progressive,行って いませんでした,Negative,Polite,Iku
ikeba,Iku Provisional Conditional eba,行けば,Positive,Plain,Iku
ikanakereba,Iku Provisional Conditional eba,行かなければ,Negative,Plain,Iku
ikimaseba,Iku Provisional Conditional eba,行きませば行きますれば,Positive,Polite,Iku
ikimasen nara,Iku Provisional Conditional eba,行きませんなら,Negative,Polite,Iku
ittara,Iku Conditional (-tara form),行ったら,Positive,Plain,Iku
ikanakattara,Iku Conditional (-tara form),行かなかったら,Negative,Plain,Iku
ikimashitara,Iku Conditional (-tara form),行きましたら,Positive,Polite,Iku
ikimasen deshitara,Iku Conditional (-tara form),行きませんでしたら,Negative,Polite,Iku
ikeru,Iku Potential,行ける,Positive,Plain,Iku
ikenai,Iku Potential,行けない,Negative,Plain,Iku
ikemasu,Iku Potential,行けます,Positive,Polite,Iku
ikemasen,Iku Potential,行けません,Negative,Polite,Iku
ikaseru,Iku Causative,行かせる,Positive,Plain,Iku
ikasenai,Iku Causative,行かせない,Negative,Plain,Iku
ikasemasu,Iku Causative,行かせます,Positive,Polite,Iku
ikasemasen,Iku Causative,行かせません,Negative,Polite,Iku
ikareru,Iku Passive,行かれる,Positive,Plain,Iku
ikarenai,Iku Passive,行かれない,Negative,Plain,Iku
ikaremasu,Iku Passive,行かれます,Positive,Polite,Iku
ikaremasen,Iku Passive,行かれません,Negative,Polite,Iku
